fecha	cols	rows	boosting	objective	metric	data_sample_strategy	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	num_leaves	min_data_in_leaf	feature_fraction	feature_fraction_bynode	max_depth	top_rate	other_rate	estimulos	ganancia	iteracion_bayesiana
20231130 180208	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	975	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.287773740060627	45	19907	0.737512144686189	0.892887500314508	18	0.46391226608927	0.444685580472772	11239	159278024.487756	19
20231130 180421	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	84	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.256666691601897	84	18610	0.681412888642711	0.774220830054954	2	0.107003241327281	0.3825005091882	11489	151793131.934033	20
20231130 180749	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	687	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.203904568178579	31	13106	0.762981791141598	0.521993919578381	42	0.186761967247973	0.515316961891949	11789	159279738.630685	21
20231130 181051	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	537	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.176572087037687	76	4466	0.487093523200601	0.215874915440567	29	0.053879906454434	0.111722181225196	11502	159244920.53973	22
20231130 181743	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	279	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.0200854939712832	22	14667	0.519826879370182	0.567708684648853	40	0.737652833744263	0.144322735692064	15283	153936601.1994	23
20231130 182209	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	1076	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.211622482975324	11	7196	0.626227662084469	0.984753183458932	20	0.214907624448339	0.0147597498415659	11365	159188728.135932	24
20231130 182623	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	927	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.270076589705423	8	13358	0.617767278270912	0.304367310801754	34	0.854811776982388	0.0139581941475626	13392	158930042.978511	25
20231130 183027	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	854	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.19874296976719	29	1978	0.716694099354208	0.740032873102464	40	0.0762030205805786	0.659391818422591	12078	156037108.445777	26
20231130 183329	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	533	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.160298392592231	99	6654	0.690324468113249	0.523788505081029	30	0.128541547164787	0.486436592065729	11090	160476486.756622	27
20231130 183851	1370	343073	gbdt	binary	custom	goss	TRUE	TRUE	FALSE	TRUE	-100	0	0.001	0	0	31	118	1	1	1	FALSE	1	0.1	50	0.5	TRUE	200177	0.0242291865835432	78	5034	0.494695660608704	0.846627669377194	11	0.498706034763018	0.281425488501554	10824	153967592.203898	28
